id	source	nvrtc-o3_classification	nvrtc-o3_return_code	nvrtc-o3_executed	nvrtc-o3_passed	nvrtc-o3_ignored	nvvm-o0_classification	nvvm-o0_return_code	nvvm-o0_executed	nvvm-o0_passed	nvvm-o0_ignored	nvvm-o3_classification	nvvm-o3_return_code	nvvm-o3_executed	nvvm-o3_passed	nvvm-o3_ignored	evidence_status
compute/generic-diamond-pattern-2.slang#discovery-1	compute/generic-diamond-pattern-2.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/generic-interface-method.slang#discovery-1	compute/generic-interface-method.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/generics-constrained.slang#discovery-1	compute/generics-constrained.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/inout.slang#discovery-1	compute/inout.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/interface-shader-param.slang#discovery-1	compute/interface-shader-param.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/multi-interface.slang#discovery-1	compute/multi-interface.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/multiple-continue-sites.slang#discovery-1	compute/multiple-continue-sites.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/nested-generics2.slang#discovery-1	compute/nested-generics2.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/non-square-column-major.slang#discovery-1	compute/non-square-column-major.slang	runtime-mismatch	1	1	0	0	runtime-mismatch	1	1	0	0	runtime-mismatch	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/pointer-emit.slang#discovery-1	compute/pointer-emit.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/ssa-reduce-bug.slang#discovery-1	compute/ssa-reduce-bug.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/static-const-matrix-array.slang#discovery-1	compute/static-const-matrix-array.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/struct-make.slang#discovery-1	compute/struct-make.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/texture-get-dimensions.slang#discovery-1	compute/texture-get-dimensions.slang	runtime-mismatch	1	1	0	0	preflight	1	1	0	0	preflight	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
compute/texture-subscript-multisample.slang#discovery-1	compute/texture-subscript-multisample.slang	infrastructure	1	1	0	0	preflight	1	1	0	0	preflight	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-bf16-dot.slang#discovery-1	cuda/nvvm-bf16-dot.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-bf16-scalar.slang#discovery-1	cuda/nvvm-bf16-scalar.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-bf16-vector-values.slang#discovery-1	cuda/nvvm-bf16-vector-values.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-clock-observations.slang#discovery-1	cuda/nvvm-clock-observations.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-copyable-kernel-context.slang#discovery-1	cuda/nvvm-copyable-kernel-context.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-double-literal-roundtrip.slang#discovery-1	cuda/nvvm-double-literal-roundtrip.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-firstbithigh-signedness.slang#discovery-1	cuda/nvvm-firstbithigh-signedness.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp16-masked-minmax.slang#discovery-1	cuda/nvvm-fp16-masked-minmax.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp32-minmax-order.slang#discovery-1	cuda/nvvm-fp32-minmax-order.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp32-singleton-minmax.slang#discovery-1	cuda/nvvm-fp32-singleton-minmax.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp64-implicit-shuffle.slang#discovery-1	cuda/nvvm-fp64-implicit-shuffle.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp64-masked-wave.slang#discovery-1	cuda/nvvm-fp64-masked-wave.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp64-minmax-order.slang#discovery-1	cuda/nvvm-fp64-minmax-order.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp64-prefix-minmax-order.slang#discovery-1	cuda/nvvm-fp64-prefix-minmax-order.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp64-wave-aggregate.slang#discovery-1	cuda/nvvm-fp64-wave-aggregate.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp64-wave-edges.slang#discovery-1	cuda/nvvm-fp64-wave-edges.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-fp8-finite-literals.slang#discovery-1	cuda/nvvm-fp8-finite-literals.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-hardware-active-mask.slang#discovery-1	cuda/nvvm-hardware-active-mask.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-i64-masked-minmax.slang#discovery-1	cuda/nvvm-i64-masked-minmax.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-implicit-aggregate-mask.slang#discovery-1	cuda/nvvm-implicit-aggregate-mask.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-local-boolean-lanes.slang#discovery-1	cuda/nvvm-local-boolean-lanes.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-mutable-parameter-forwarding.slang#discovery-1	cuda/nvvm-mutable-parameter-forwarding.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-mutable-pointer-payload-forwarding.slang#discovery-1	cuda/nvvm-mutable-pointer-payload-forwarding.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-narrow-masked-minmax.slang#discovery-1	cuda/nvvm-narrow-masked-minmax.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-quad-votes.slang#discovery-1	cuda/nvvm-quad-votes.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
cuda/nvvm-texture-descriptor-conversion.slang#discovery-1	cuda/nvvm-texture-descriptor-conversion.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-246-full
