id	source	coverage_tier	nvrtc-o3_classification	nvvm-o0_classification	nvvm-o3_classification	evidence_status
hlsl-intrinsic/wave-matrix.slang#cuda-1	hlsl-intrinsic/wave-matrix.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-bitwise.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-bitwise.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-min-max.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-min-max.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-prefix-bitwise.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-prefix-bitwise.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-prefix-max.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-prefix-max.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-prefix-min.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-prefix-min.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-prefix-scalar-functional.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-prefix-scalar-functional.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-prefix-sum-product.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-prefix-sum-product.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-multi/wave-multi-sum-product.slang#cuda-1	hlsl-intrinsic/wave-multi/wave-multi-sum-product.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-prefix-bitwise.slang#cuda-1	hlsl-intrinsic/wave-prefix-bitwise.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-prefix-count-bits.slang#cuda-1	hlsl-intrinsic/wave-prefix-count-bits.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-prefix-min-max.slang#cuda-1	hlsl-intrinsic/wave-prefix-min-max.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-prefix-product.slang#cuda-1	hlsl-intrinsic/wave-prefix-product.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-prefix-sum.slang#cuda-1	hlsl-intrinsic/wave-prefix-sum.slang	extension	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-read-lane-at-vk.slang#cuda-1	hlsl-intrinsic/wave-read-lane-at-vk.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-read-lane-at.slang#cuda-1	hlsl-intrinsic/wave-read-lane-at.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-rotate/wave-rotate-clustered.slang#cuda-1	hlsl-intrinsic/wave-rotate/wave-rotate-clustered.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-rotate/wave-rotate.slang#cuda-1	hlsl-intrinsic/wave-rotate/wave-rotate.slang	extension	correct	preflight	preflight	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-shuffle-vk.slang#cuda-1	hlsl-intrinsic/wave-shuffle-vk.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave-vector.slang#cuda-1	hlsl-intrinsic/wave-vector.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
hlsl-intrinsic/wave.slang#cuda-1	hlsl-intrinsic/wave.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/early-return-wave-op-functional.slang#cuda-1	language-feature/execution-model/early-return-wave-op-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/loop-break-wave-op-functional.slang#cuda-1	language-feature/execution-model/loop-break-wave-op-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/multi-wave-thread-group-functional.slang#cuda-1	language-feature/execution-model/multi-wave-thread-group-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/wave-active-all-any-functional.slang#cuda-1	language-feature/execution-model/wave-active-all-any-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/wave-ballot-verify-functional.slang#cuda-1	language-feature/execution-model/wave-ballot-verify-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/wave-divergent-if-functional.slang#cuda-1	language-feature/execution-model/wave-divergent-if-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
language-feature/execution-model/wave-switch-divergence-functional.slang#cuda-1	language-feature/execution-model/wave-switch-divergence-functional.slang	mvp	correct	correct	correct	fresh-linux-l4-cuda12.9-sm80
