id	source	nvrtc-o3_classification	nvrtc-o3_return_code	nvrtc-o3_executed	nvrtc-o3_passed	nvrtc-o3_ignored	nvvm-o0_classification	nvvm-o0_return_code	nvvm-o0_executed	nvvm-o0_passed	nvvm-o0_ignored	nvvm-o3_classification	nvvm-o3_return_code	nvvm-o3_executed	nvvm-o3_passed	nvvm-o3_ignored	evidence_status
compute/ssa-reduce-bug.slang#discovery-1	compute/ssa-reduce-bug.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
compute/struct-make.slang#discovery-1	compute/struct-make.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
compute/texture-get-dimensions.slang#discovery-1	compute/texture-get-dimensions.slang	runtime-mismatch	1	1	0	0	preflight	1	1	0	0	preflight	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
compute/texture-subscript-multisample.slang#discovery-1	compute/texture-subscript-multisample.slang	infrastructure	1	1	0	0	preflight	1	1	0	0	preflight	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
cuda/nvvm-texture-descriptor-conversion.slang#discovery-1	cuda/nvvm-texture-descriptor-conversion.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
cuda/nvvm-undefined-sampler.slang#discovery-1	cuda/nvvm-undefined-sampler.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
language-feature/types/opaque/inout-param-opaque-type-in-struct.slang#discovery-1	language-feature/types/opaque/inout-param-opaque-type-in-struct.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
language-feature/types/opaque/return-opaque-type-in-struct.slang#discovery-1	language-feature/types/opaque/return-opaque-type-in-struct.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-203
